20:03:08 [INFO] Found game object: Arrow
20:03:08 [INFO] Found game object: select
20:03:08 [INFO] Found game object: MageSkeletonBullet
20:03:08 [INFO] Found game object: WorldLvl1Gen
20:03:08 [INFO] Found game object: MageSkullProjectile
20:03:08 [INFO] Found game object: LinkedPortals
20:03:08 [INFO] Found scene: Lvl2
20:03:08 [INFO] Found game object: WorldGeneratorLevel2
20:03:08 [INFO] Found game object: select
20:03:08 [INFO] Found game object: DemonSkeletonPool
20:03:08 [INFO] Found game object: ArcherSkeletonPool
20:03:08 [INFO] Found game object: ProjectilePool
20:03:08 [INFO] Found game object: LightRange
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: ExitRange
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: MageSkullProjectile
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: EnemyRange
20:03:08 [INFO] Found game object: PortalParent
20:03:08 [INFO] Found game object: MageSkeletonBullet
20:03:08 [INFO] Found game object: MageSkullPool
20:03:08 [INFO] Found game object: Arrow
20:03:08 [INFO] Found game object: Enemies
20:03:08 [INFO] Found game object: LinkedPortals
20:03:08 [INFO] Found scene: MainBoss1
20:03:08 [INFO] Found game object: pos (8)
20:03:08 [INFO] Found game object: pos (2)
20:03:08 [INFO] Found game object: pos (5)
20:03:08 [INFO] Found game object: ProjZone1
20:03:08 [INFO] Found game object: pos (20)
20:03:08 [INFO] Found game object: pos (4)
20:03:08 [INFO] Found game object: pos (20)
20:03:08 [INFO] Found game object: pos (10)
20:03:08 [INFO] Found game object: pos (9)
20:03:08 [INFO] Found game object: pos (8)
20:03:08 [INFO] Found game object: Wall (1)
20:03:08 [INFO] Found game object: VoidFireStand (6)
20:03:08 [INFO] Found game object: pos (17)
20:03:08 [INFO] Found game object: pos (1)
20:03:08 [INFO] Found game object: background_night3_0
20:03:08 [INFO] Found game object: VoidFireStand (5)
20:03:08 [INFO] Found game object: ProjZone2
20:03:08 [INFO] Found game object: pos (11)
20:03:08 [INFO] Found game object: pos (14)
20:03:08 [INFO] Found game object: pos (10)
20:03:08 [INFO] Found game object: pos (1)
20:03:08 [INFO] Found game object: pos (5)
20:03:08 [INFO] Found game object: Doors
20:03:08 [INFO] Found game object: pos (4)
20:03:08 [INFO] Found game object: pos (6)
20:03:08 [INFO] Found game object: Wall
20:03:08 [INFO] Found game object: VoidFireStand (1)
20:03:08 [INFO] Found game object: pos (16)
20:03:08 [INFO] Found game object: pos (7)
20:03:08 [INFO] Found game object: ActivatePortal
20:03:08 [INFO] Found game object: pos (2)
20:03:08 [INFO] Found game object: pos (7)
20:03:08 [INFO] Found game object: VoidFireStand (4)
20:03:08 [INFO] Found game object: pos
20:03:08 [INFO] Found game object: pos (18)
20:03:08 [INFO] Found game object: pos (13)
20:03:08 [INFO] Found game object: background_night3_0 (1)
20:03:08 [INFO] Found game object: pos (6)
20:03:08 [INFO] Found game object: pos (12)
20:03:08 [INFO] Found game object: VoidFireStand (2)
20:03:08 [INFO] Found game object: pos (9)
20:03:08 [INFO] Found game object: VoidFireStand (7)
20:03:08 [INFO] Found game object: VoidFireStand (3)
20:03:08 [INFO] Found game object: PlayerSpawn
20:03:08 [INFO] Found game object: pos (11)
20:03:08 [INFO] Found game object: pos (15)
20:03:08 [INFO] Found game object: pos (16)
20:03:08 [INFO] Found game object: pos (14)
20:03:08 [INFO] Found game object: pos (3)
20:03:08 [INFO] Found game object: VoidFireStand
20:03:08 [INFO] Found game object: pos (19)
20:03:08 [INFO] Found game object: RoofProjZones
20:03:08 [INFO] Found game object: pos (19)
20:03:08 [INFO] Found game object: pos (12)
20:03:08 [INFO] Found game object: pos (13)
